file,journal
239 Shephard_ArgentineBasin_anomalous_depth_GR2012.pdf,Gondwana Research
240 sjogreen art%3A10.1007%2Fs10915-013-9760-6.pdf,NA
241 sjogreen art%3A10.1007%2Fs10915-011-9531-1.pdf,NA
242 sodoudi ggge20334.pdf,Geochemistry Geophysics Geosystems
243 solomatov 1-s2.0-S0031920112000726-main.pdf,Physics of the Earth and Planetary Interiors 
244 Spada_et_al-2011-Geophysical_Journal_International.pdf,Geophysical Journal International 
245 spada 1-s2.0-S0921818114000666-main.pdf,Global and Planetary Change 
246 Spada_et_al-2012-Geophysical_Journal_International.pdf,Geophysical Journal International 
247 spada 6548-14045-1-PB.pdf,Annals of Geophysics
248 spada j.1365-246X.2012.05663.x.pdf,Geophysical Journal International 
249 spasojevic ngeo855.pdf,Nature Geoscience
250 spasojevic jgrb16251.pdf,Journal of Geophysical Research 
251 sramek jgre2967.pdf,Journal of Geophysical Research 
252 sramek jgre2800.pdf,Journal of Geophysical Research 
253 stahler se-3-339-2012.pdf,Solid Earth
254 sun ggge20185.pdf,Geochemistry Geophysics Geosystems
255 sorensen tc-5-173-2011.pdf,The Cryosphere
256 tago jgrb17293.pdf,Journal of Geophysical Research 
257 tan ggge2018.pdf,Geochemistry Geophysics Geosystems
258 Tape_et_al-2010-Geophysical_Journal_International.pdf,Geophysical Journal International 
259 thebaud 1-s2.0-S0301926812000769-main.pdf,Precambrian Research
260 thompson tc-8-2007-2014.pdf,The Cryosphere
261 Full Thesis Jeff Thompson.pdf,PhD Thesis
262 to 1-s2.0-S0031920110002311-main.pdf,Physics of the Earth and Planetary Interiors 
263 toker 1-s2.0-S0012821X11004353-main.pdf,Earth and Planetary Science Letters 
264 Geophys. J. Int.-2014-Tong-369-95.pdf,Geophysical Journal International 
265 tong grl52211.pdf,Geophysical Research Letters
266 Tromp_et_al-2010-Geophysical_Journal_International.pdf,Geophysical Journal International 
267 Tromp_et_al-2010-Geophysical_Journal_International (1).pdf,Geophysical Journal International 
268 trubitsyn art%3A10.1134%2FS1069351312060079.pdf,NA
269 trubitsyn art%3A10.1134%2FS106935131112010X.pdf,NA
270 tsimplis1-s2.0-S0921818110002584-main.pdf,Global and Planetary Change 
271 tuccimei 1-s2.0-S1040618211006112-main.pdf,Quaternary International
273 Geophys. J. Int.-2014-van Driel-880-93.pdf,Geophysical Journal International 
274 Geophys. J. Int.-2014-van Driel-1078-93.pdf,Geophysical Journal International 
275 vanhins jgrb16783.pdf,Journal of Geophysical Research 
276 vansumm 2041-8205_736_1_L15.pdf,Astrophysical Journal
277 vansumm ggge2119.pdf,Geochemistry Geophysics Geosystems
278 vansumm jgre20077.pdf,Journal of Geophysical Research: Planets
279 wallace jgrb17354.pdf,Journal of Geophysical Research 
280 wang jgrb50828.pdf,Journal of Geophysical Research: Solid Earth 
281 weller grl29066.pdf,Geophysical Research Letters
282 weller 1-s2.0-S0012821X15001648-main.pdf,Earth and Planetary Science Letters 
283 whitney Geological Society of America Bulletin-2012-Whitney-B30754.1.pdf,Geological Society of American Bulletin
284 williams grl52609.pdf,Geophysical Research Letters
285 woppel jgrc12296.pdf,Journal of Geophysical Research 
286 Geophys. J. Int.-2015-Xie-996-1021.pdf,Geophysical Journal International 
287 xie jgrb50296.pdf,Journal of Geophysical Research: Solid Earth 
288 Geophys. J. Int.-2014-Xie-1714-47.pdf,Geophysical Journal International 
289 yang grl50509.pdf,Geophysical Research Letters
290 yikilmaz npg-18-955-2011.pdf,Nonlinear Processes in Geophysics
291 yikilmaz art%3A10.1007%2Fs00024-014-0786-y.pdf,Pure and Applied Geophysics 
292 Geophys. J. Int.-2010-Y-k-lmaz-734-42.pdf,Geophysical Journal International 
293 yildiz grl50371.pdf,Geophysical Research Letters
294 Yuan 1-s2.0-S0012821X13002768-main.pdf,Earth and Planetary Science Letters 
295 yuan jgrb50622.pdf,Journal of Geophysical Research: Solid Earth 
297 zahirovic ggge2126.pdf,Geochemistry Geophysics Geosystems
298 zha 1-s2.0-S1367912013003271-main.pdf,Journal of Asian Earth Sciences
299 zha jgrb50675.pdf,Journal of Geophysical Research: Solid Earth 
300 zhang 1-s2.0-S0012821X11002068-main.pdf,Earth and Planetary Science Letters 
301 zhang 1-s2.0-S0012821X1100639X-main.pdf,Earth and Planetary Science Letters 
302 zhang jgrb16365.pdf,Journal of Geophysical Research 
303 2011JES ZhangSiqi.pdf,Journal of Earth Science
