"Group.1","Group.2","Number_of_relationship_type","Relationship_type"
"B. Myhill","L. H. Kellogg",1,"co-hacks"
"B. Myhill","M. Rudolph",1,"co-hacks"
"B. Myhill","M. Fraters",3,"co-hacks"
"B. Myhill","R. Gassmöller",3,"co-hacks"
"B. Myhill","R. Grove",2,"co-hacks"
"B. Myhill","S. Stamps",1,"co-hacks"
"B. Myhill","S. Tarlow",1,"co-hacks"
"B. Myhill","S. Liu",2,"co-hacks"
"B. Myhill","T. Heister",3,"co-hacks"
"B. Myhill","W. Bangerth",3,"co-hacks"
"B. Myhill","Y. He",2,"co-hacks"
"C. Branecky","C. Thieulot",1,"co-hacks"
"C. Branecky","E. G. Puckett",1,"co-hacks"
"C. Branecky","E. Bredow",1,"co-hacks"
"C. Branecky","I. Rose",1,"co-hacks"
"C. Branecky","J. Austermann",1,"co-hacks"
"C. Branecky","J. Perry-Houts",1,"co-hacks"
"C. Branecky","J. Dannberg",1,"co-hacks"
"C. Branecky","K. Moore",1,"co-hacks"
"C. Branecky","L. Hwang",1,"co-hacks"
"C. Branecky","L. H. Kellogg",1,"co-hacks"
"C. Branecky","M. Rudolph",1,"co-hacks"
"C. Branecky","M. Fraters",1,"co-hacks"
"C. Branecky","R. Gassmöller",1,"co-hacks"
"C. Branecky","R. Grove",1,"co-hacks"
"C. Branecky","S. Stamps",1,"co-hacks"
"C. Branecky","S. Tarlow",1,"co-hacks"
"C. Branecky","S. Liu",1,"co-hacks"
"C. Branecky","T. Heister",1,"co-hacks"
"C. Branecky","W. Bangerth",1,"co-hacks"
"C. Branecky","Y. He",1,"co-hacks"
"C. Thieulot","E. G. Puckett",4,"co-hacks"
"C. Thieulot","E. Bredow",1,"co-hacks"
"C. Thieulot","I. Rose",4,"co-hacks"
"C. Thieulot","J. Austermann",5,"co-hacks"
"C. Thieulot","J. Perry-Houts",1,"co-hacks"
"C. Thieulot","J. Dannberg",5,"co-hacks"
"C. Thieulot","K. Moore",1,"co-hacks"
"C. Thieulot","L. Hwang",4,"co-hacks"
"C. Thieulot","L. H. Kellogg",2,"co-hacks"
"C. Thieulot","M. Rudolph",1,"co-hacks"
"C. Thieulot","M. Fraters",5,"co-hacks"
"C. Thieulot","R. Gassmöller",5,"co-hacks"
"C. Thieulot","R. Grove",3,"co-hacks"
"C. Thieulot","S. Stamps",2,"co-hacks"
"C. Thieulot","S. Tarlow",1,"co-hacks"
"C. Thieulot","S. Liu",3,"co-hacks"
"C. Thieulot","T. Heister",5,"co-hacks"
"C. Thieulot","W. Bangerth",5,"co-hacks"
"C. Thieulot","Y. He",3,"co-hacks"
"E. G. Puckett","E. Bredow",1,"co-hacks"
"E. G. Puckett","I. Rose",3,"co-hacks"
"E. G. Puckett","J. Austermann",4,"co-hacks"
"E. G. Puckett","J. Perry-Houts",1,"co-hacks"
"E. G. Puckett","J. Dannberg",4,"co-hacks"
"E. G. Puckett","K. Moore",1,"co-hacks"
"E. G. Puckett","L. Hwang",4,"co-hacks"
"E. G. Puckett","L. H. Kellogg",2,"co-hacks"
"E. G. Puckett","M. Rudolph",1,"co-hacks"
"E. G. Puckett","M. Fraters",4,"co-hacks"
"E. G. Puckett","R. Gassmöller",4,"co-hacks"
"E. G. Puckett","R. Grove",2,"co-hacks"
"E. G. Puckett","S. Stamps",1,"co-hacks"
"E. G. Puckett","S. Tarlow",1,"co-hacks"
"E. G. Puckett","S. Liu",3,"co-hacks"
"E. G. Puckett","T. Heister",4,"co-hacks"
"E. G. Puckett","W. Bangerth",4,"co-hacks"
"E. G. Puckett","Y. He",3,"co-hacks"
"E. Bredow","I. Rose",1,"co-hacks"
"E. Bredow","J. Austermann",1,"co-hacks"
"E. Bredow","J. Perry-Houts",1,"co-hacks"
"E. Bredow","J. Dannberg",1,"co-hacks"
"E. Bredow","K. Moore",1,"co-hacks"
"E. Bredow","L. Hwang",1,"co-hacks"
"E. Bredow","L. H. Kellogg",1,"co-hacks"
"E. Bredow","M. Rudolph",1,"co-hacks"
"E. Bredow","M. Fraters",1,"co-hacks"
"E. Bredow","R. Gassmöller",1,"co-hacks"
"E. Bredow","R. Grove",1,"co-hacks"
"E. Bredow","S. Stamps",1,"co-hacks"
"E. Bredow","S. Tarlow",1,"co-hacks"
"E. Bredow","S. Liu",1,"co-hacks"
"E. Bredow","T. Heister",1,"co-hacks"
"E. Bredow","W. Bangerth",1,"co-hacks"
"E. Bredow","Y. He",1,"co-hacks"
"I. Rose","J. Austermann",4,"co-hacks"
"I. Rose","J. Perry-Houts",1,"co-hacks"
"I. Rose","J. Dannberg",4,"co-hacks"
"I. Rose","K. Moore",1,"co-hacks"
"I. Rose","L. Hwang",3,"co-hacks"
"I. Rose","L. H. Kellogg",2,"co-hacks"
"I. Rose","M. Rudolph",1,"co-hacks"
"I. Rose","M. Fraters",4,"co-hacks"
"I. Rose","R. Gassmöller",4,"co-hacks"
"I. Rose","R. Grove",3,"co-hacks"
"I. Rose","S. Stamps",2,"co-hacks"
"I. Rose","S. Tarlow",1,"co-hacks"
"I. Rose","S. Liu",3,"co-hacks"
"I. Rose","T. Heister",4,"co-hacks"
"I. Rose","W. Bangerth",4,"co-hacks"
"I. Rose","Y. He",3,"co-hacks"
"J. Austermann","J. Perry-Houts",1,"co-hacks"
"J. Austermann","J. Dannberg",5,"co-hacks"
"J. Austermann","K. Moore",1,"co-hacks"
"J. Austermann","L. Hwang",4,"co-hacks"
"J. Austermann","L. H. Kellogg",2,"co-hacks"
"J. Austermann","M. Rudolph",1,"co-hacks"
"J. Austermann","M. Fraters",5,"co-hacks"
"J. Austermann","R. Gassmöller",5,"co-hacks"
"J. Austermann","R. Grove",3,"co-hacks"
"J. Austermann","S. Stamps",2,"co-hacks"
"J. Austermann","S. Tarlow",1,"co-hacks"
"J. Austermann","S. Liu",3,"co-hacks"
"J. Austermann","T. Heister",5,"co-hacks"
"J. Austermann","W. Bangerth",5,"co-hacks"
"J. Austermann","Y. He",3,"co-hacks"
"J. Perry-Houts","J. Dannberg",1,"co-hacks"
"J. Perry-Houts","K. Moore",1,"co-hacks"
"J. Perry-Houts","L. Hwang",1,"co-hacks"
"J. Perry-Houts","L. H. Kellogg",1,"co-hacks"
"J. Perry-Houts","M. Rudolph",1,"co-hacks"
"J. Perry-Houts","M. Fraters",1,"co-hacks"
"J. Perry-Houts","R. Gassmöller",1,"co-hacks"
"J. Perry-Houts","R. Grove",1,"co-hacks"
"J. Perry-Houts","S. Stamps",1,"co-hacks"
"J. Perry-Houts","S. Tarlow",1,"co-hacks"
"J. Perry-Houts","S. Liu",1,"co-hacks"
"J. Perry-Houts","T. Heister",1,"co-hacks"
"J. Perry-Houts","W. Bangerth",1,"co-hacks"
"J. Perry-Houts","Y. He",1,"co-hacks"
"J. Dannberg","K. Moore",1,"co-hacks"
"J. Dannberg","L. Hwang",4,"co-hacks"
"J. Dannberg","L. H. Kellogg",2,"co-hacks"
"J. Dannberg","M. Rudolph",1,"co-hacks"
"J. Dannberg","M. Fraters",5,"co-hacks"
"J. Dannberg","R. Gassmöller",5,"co-hacks"
"J. Dannberg","R. Grove",3,"co-hacks"
"J. Dannberg","S. Stamps",2,"co-hacks"
"J. Dannberg","S. Tarlow",1,"co-hacks"
"J. Dannberg","S. Liu",3,"co-hacks"
"J. Dannberg","T. Heister",5,"co-hacks"
"J. Dannberg","W. Bangerth",5,"co-hacks"
"J. Dannberg","Y. He",3,"co-hacks"
"K. Moore","L. Hwang",1,"co-hacks"
"K. Moore","L. H. Kellogg",1,"co-hacks"
"K. Moore","M. Rudolph",1,"co-hacks"
"K. Moore","M. Fraters",1,"co-hacks"
"K. Moore","R. Gassmöller",1,"co-hacks"
"K. Moore","R. Grove",1,"co-hacks"
"K. Moore","S. Stamps",1,"co-hacks"
"K. Moore","S. Tarlow",1,"co-hacks"
"K. Moore","S. Liu",1,"co-hacks"
"K. Moore","T. Heister",1,"co-hacks"
"K. Moore","W. Bangerth",1,"co-hacks"
"K. Moore","Y. He",1,"co-hacks"
"L. Hwang","L. H. Kellogg",2,"co-hacks"
"L. Hwang","M. Rudolph",1,"co-hacks"
"L. Hwang","M. Fraters",4,"co-hacks"
"L. Hwang","R. Gassmöller",4,"co-hacks"
"L. Hwang","R. Grove",2,"co-hacks"
"L. Hwang","S. Stamps",1,"co-hacks"
"L. Hwang","S. Tarlow",1,"co-hacks"
"L. Hwang","S. Liu",3,"co-hacks"
"L. Hwang","T. Heister",4,"co-hacks"
"L. Hwang","W. Bangerth",4,"co-hacks"
"L. Hwang","Y. He",3,"co-hacks"
"L. H. Kellogg","M. Rudolph",1,"co-hacks"
"L. H. Kellogg","M. Fraters",2,"co-hacks"
"L. H. Kellogg","R. Gassmöller",2,"co-hacks"
"L. H. Kellogg","R. Grove",1,"co-hacks"
"L. H. Kellogg","S. Stamps",1,"co-hacks"
"L. H. Kellogg","S. Tarlow",1,"co-hacks"
"L. H. Kellogg","S. Liu",2,"co-hacks"
"L. H. Kellogg","T. Heister",2,"co-hacks"
"L. H. Kellogg","W. Bangerth",2,"co-hacks"
"L. H. Kellogg","Y. He",2,"co-hacks"
"M. Rudolph","M. Fraters",1,"co-hacks"
"M. Rudolph","R. Gassmöller",1,"co-hacks"
"M. Rudolph","R. Grove",1,"co-hacks"
"M. Rudolph","S. Stamps",1,"co-hacks"
"M. Rudolph","S. Tarlow",1,"co-hacks"
"M. Rudolph","S. Liu",1,"co-hacks"
"M. Rudolph","T. Heister",1,"co-hacks"
"M. Rudolph","W. Bangerth",1,"co-hacks"
"M. Rudolph","Y. He",1,"co-hacks"
"M. Fraters","R. Gassmöller",5,"co-hacks"
"M. Fraters","R. Grove",3,"co-hacks"
"M. Fraters","S. Stamps",2,"co-hacks"
