"Group.1","Group.2","Relationship_type","Count","co_hacks"
"J. M. Robey","J. Dannberg","hack_2016",1,1
"J. M. Robey","L. Hwang","hack_2016",1,1
"J. M. Robey","L. H. Kellogg","hack_2016",1,1
"J. M. Robey","M. Fraters","hack_2016",1,1
"J. M. Robey","R. Gassmöller","hack_2016",1,1
"J. M. Robey","S. P. Cox","hack_2016",1,1
"J. M. Robey","S. Liu","hack_2016",1,1
"J. M. Robey","T. Rajaonarison","hack_2016",1,1
"J. M. Robey","T. Heister","hack_2016",1,1
"J. M. Robey","W. Bangerth","hack_2016",1,1
"J. M. Robey","Y. He","hack_2016",1,1
"J. Dannberg","L. Hwang","hack_2016",1,4
"J. Dannberg","L. H. Kellogg","hack_2016",1,2
"J. Dannberg","M. Fraters","hack_2016",1,5
"J. Dannberg","R. Gassmöller","hack_2016",1,5
"J. Dannberg","S. P. Cox","hack_2016",1,1
"J. Dannberg","S. Liu","hack_2016",1,3
"J. Dannberg","T. Rajaonarison","hack_2016",1,1
"J. Dannberg","T. Heister","hack_2016",1,5
"J. Dannberg","W. Bangerth","hack_2016",1,5
"J. Dannberg","Y. He","hack_2016",1,3
"L. Hwang","L. H. Kellogg","hack_2016",1,2
"L. Hwang","M. Fraters","hack_2016",1,4
"L. Hwang","R. Gassmöller","hack_2016",1,4
"L. Hwang","S. P. Cox","hack_2016",1,1
"L. Hwang","S. Liu","hack_2016",1,3
"L. Hwang","T. Rajaonarison","hack_2016",1,1
"L. Hwang","T. Heister","hack_2016",1,4
"L. Hwang","W. Bangerth","hack_2016",1,4
"L. Hwang","Y. He","hack_2016",1,3
"L. H. Kellogg","M. Fraters","hack_2016",1,2
"L. H. Kellogg","R. Gassmöller","hack_2016",1,2
"L. H. Kellogg","S. P. Cox","hack_2016",1,1
"L. H. Kellogg","S. Liu","hack_2016",1,2
"L. H. Kellogg","T. Rajaonarison","hack_2016",1,1
"L. H. Kellogg","T. Heister","hack_2016",1,2
"L. H. Kellogg","W. Bangerth","hack_2016",1,2
"L. H. Kellogg","Y. He","hack_2016",1,2
"M. Fraters","R. Gassmöller","hack_2016",1,5
"M. Fraters","S. P. Cox","hack_2016",1,1
"M. Fraters","S. Liu","hack_2016",1,3
"M. Fraters","T. Rajaonarison","hack_2016",1,1
"M. Fraters","T. Heister","hack_2016",1,5
"M. Fraters","W. Bangerth","hack_2016",1,5
"M. Fraters","Y. He","hack_2016",1,3
"R. Gassmöller","S. P. Cox","hack_2016",1,1
"R. Gassmöller","S. Liu","hack_2016",1,3
"R. Gassmöller","T. Rajaonarison","hack_2016",1,1
